PID	Status	Label
-	0	com.apple.mbproximityhelper
-	-9	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
600	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
-	-9	com.apple.printtool.agent
-	0	com.apple.callintelligenced
-	78	com.ai-empire.n8n
-	78	com.ai-empire.autonomy
-	-9	com.apple.askpermissiond
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
-	-9	com.apple.FeatureAccessAgent
-	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
1189	0	com.apple.CryptoTokenKit.ahp.agent
-	-9	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
72213	-9	com.apple.remindd
-	0	com.apple.appsleep
762	0	com.apple.duetexpertd
721	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
692	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
611	0	com.apple.lsd
72391	-9	com.apple.siri.context.service
-	-9	com.apple.fskit.fskit_agent
72199	-9	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.Virtualization.EventTap
-	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
72190	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
691	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	-9	com.apple.CallHistorySyncHelper
72171	-9	com.apple.colorsync.useragent
-	-9	com.apple.analyticsagent
72231	-9	com.apple.appleaccountd
68257	-9	com.apple.parsecd
-	-9	com.apple.mlruntimed
651	0	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
72293	-9	com.apple.dmd
-	-9	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
-	-9	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
593	0	com.apple.UserEventAgent-Aqua
72226	-9	com.apple.followupd
625	0	com.apple.identityservicesd
628	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
-	-9	com.apple.generativeexperiencesd
72051	-9	com.apple.XProtect.agent.scan
-	-9	com.apple.storekitagent
-	0	com.apple.security.DiskUnmountWatcher
68207	-9	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
-	-9	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
72395	-9	com.apple.backgroundtaskmanagement.agent
72284	-9	com.apple.intelligenceflowd
72221	-9	com.apple.businessservicesd
